,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,Dowload Rate,Upload Rate,State
0,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
1741,2019.12.16_13.35.10,-8.394601,51.886139,5G,-100,-15,-6.0,10,-83,2,4,D
1742,2019.12.16_13.35.11,-8.394601,51.886139,5G,-100,-15,-6.0,10,-83,2,4,D
1743,2019.12.16_13.35.12,-8.394601,51.886139,5G,-100,-15,4.0,11,-89,0,0,I
1744,2019.12.16_13.35.13,-8.394601,51.886139,5G,-100,-15,4.0,11,-89,2,4,D
1745,2019.12.16_13.35.14,-8.394601,51.886139,5G,-100,-14,-2.0,11,-89,0,0,I
1746,2019.12.16_13.35.15,-8.394601,51.886139,5G,-100,-14,-2.0,11,-89,0,0,I
1747,2019.12.16_13.35.16,-8.394601,51.886139,5G,-100,-10,-1.0,11,-89,0,0,I
1748,2019.12.16_13.35.17,-8.394601,51.886139,5G,-100,-10,-1.0,11,-89,0,0,I
1749,2019.12.16_13.35.18,-8.394601,51.886139,5G,-101,-14,-5.0,11,-89,0,0,I
1750,2019.12.16_13.35.19,-8.394601,51.886139,5G,-101,-14,-5.0,11,-89,0,0,I
1751,2019.12.16_13.35.20,-8.394601,51.886139,5G,-100,-9,2.0,11,-89,0,0,I
1752,2019.12.16_13.35.21,-8.394601,51.886139,5G,-100,-9,2.0,11,-89,0,0,I
1753,2019.12.16_13.35.22,-8.394601,51.886139,5G,-100,-11,-1.0,11,-89,0,0,I
1754,2019.12.16_13.35.24,-8.394601,51.886139,5G,-100,-11,-1.0,11,-89,0,0,I
1755,2019.12.16_13.35.25,-8.394601,51.886139,5G,-101,-13,-2.0,11,-83,0,0,I
1756,2019.12.16_13.35.26,-8.394601,51.886139,5G,-101,-13,-2.0,11,-87,0,0,I
1757,2019.12.16_13.35.27,-8.394601,51.886139,5G,-100,-13,2.0,11,-87,0,0,I
1758,2019.12.16_13.35.28,-8.394601,51.886139,5G,-100,-13,2.0,11,-87,0,0,I
1759,2019.12.16_13.35.29,-8.394601,51.886139,5G,-101,-14,-2.0,11,-87,0,0,I
1760,2019.12.16_13.35.30,-8.394601,51.886139,5G,-101,-14,-2.0,11,-90,2,4,D
1761,2019.12.16_13.35.31,-8.394601,51.886139,5G,-100,-16,-3.0,11,-90,0,0,I
1762,2019.12.16_13.35.32,-8.394601,51.886139,5G,-100,-16,-3.0,11,-84,2,4,D
1763,2019.12.16_13.35.33,-8.394601,51.886139,5G,-101,-16,0.0,10,-89,0,0,I
1764,2019.12.16_13.35.34,-8.394601,51.886139,5G,-101,-16,0.0,10,-89,2,4,D
1765,2019.12.16_13.35.36,-8.394601,51.886139,5G,-101,-17,-3.0,10,-89,0,0,I
1766,2019.12.16_13.35.37,-8.394601,51.886139,5G,-101,-17,-3.0,10,-89,0,0,I
1767,2019.12.16_13.35.38,-8.394601,51.886139,5G,-101,-16,-1.0,10,-89,0,0,I
1768,2019.12.16_13.35.39,-8.394601,51.886139,5G,-101,-16,-1.0,10,-89,0,0,I
1769,2019.12.16_13.35.40,-8.394601,51.886139,5G,-100,-16,-2.0,10,-89,0,0,I
1770,2019.12.16_13.35.41,-8.394601,51.886139,5G,-100,-16,-2.0,10,-89,0,0,I
1771,2019.12.16_13.35.42,-8.394601,51.886139,5G,-100,-16,-4.0,14,-87,11462,61,D
1772,2019.12.16_13.35.43,-8.394601,51.886139,5G,-100,-16,-4.0,14,-87,0,0,D
1773,2019.12.16_13.35.44,-8.394601,51.886139,5G,-100,-14,0.0,14,-87,0,0,I
1774,2019.12.16_13.35.45,-8.394601,51.886139,5G,-100,-14,0.0,14,-87,0,0,I
1775,2019.12.16_13.35.46,-8.394601,51.886139,5G,-100,-12,3.0,14,-87,0,0,I
1776,2019.12.16_13.35.47,-8.394601,51.886139,5G,-100,-12,3.0,14,-87,0,0,D
1777,2019.12.16_13.35.48,-8.394601,51.886139,5G,-100,-12,1.0,14,-87,0,0,I
1778,2019.12.16_13.35.50,-8.394601,51.886139,5G,-100,-12,1.0,14,-87,0,0,I
1779,2019.12.16_13.35.51,-8.394601,51.886139,5G,-100,-11,-3.0,14,-87,2,4,D
1780,2019.12.16_13.35.52,-8.394601,51.886139,5G,-100,-11,-3.0,14,-87,0,0,D
1781,2019.12.16_13.35.53,-8.394601,51.886139,5G,-101,-14,-7.0,14,-87,2,4,D
1782,2019.12.16_13.35.54,-8.394601,51.886139,5G,-101,-14,-7.0,14,-87,0,0,I
1783,2019.12.16_13.35.55,-8.394601,51.886139,5G,-100,-15,-7.0,14,-87,2,4,D
1784,2019.12.16_13.35.56,-8.394601,51.886139,5G,-100,-15,-7.0,14,-87,0,0,I
1785,2019.12.16_13.35.57,-8.394601,51.886139,5G,-101,-10,-5.0,14,-87,0,0,I
1786,2019.12.16_13.35.58,-8.394601,51.886139,5G,-101,-10,-5.0,14,-87,0,26,D
1787,2019.12.16_13.35.59,-8.394601,51.886139,5G,-100,-11,3.0,14,-87,13,0,D
1788,2019.12.16_13.36.00,-8.394601,51.886139,5G,-100,-11,3.0,14,-87,0,0,I
1789,2019.12.16_13.36.01,-8.394601,51.886139,5G,-101,-10,-3.0,14,-87,0,0,I
1790,2019.12.16_13.36.03,-8.394601,51.886139,5G,-101,-10,-3.0,14,-87,0,0,I
1791,2019.12.16_13.36.04,-8.394601,51.886139,5G,-101,-14,2.0,14,-87,0,0,I
1792,2019.12.16_13.36.05,-8.394601,51.886139,5G,-101,-14,2.0,14,-87,0,0,I
1793,2019.12.16_13.36.06,-8.394601,51.886139,5G,-101,-12,-4.0,14,-87,0,0,I
1794,2019.12.16_13.36.07,-8.394601,51.886139,5G,-101,-12,-4.0,14,-87,0,0,I
1795,2019.12.16_13.36.08,-8.394601,51.886139,5G,-101,-13,-4.0,14,-87,0,0,I
1796,2019.12.16_13.36.09,-8.394601,51.886139,5G,-101,-13,-4.0,14,-87,0,0,I
1797,2019.12.16_13.36.10,-8.394601,51.886139,5G,-101,-12,-1.0,15,-85,0,0,I
1798,2019.12.16_13.36.11,-8.394601,51.886139,5G,-101,-12,-1.0,15,-85,0,0,I
1799,2019.12.16_13.36.12,-8.394601,51.886139,5G,-101,-11,1.0,12,-87,2,4,D
1800,2019.12.16_13.36.13,-8.394601,51.886139,5G,-101,-11,1.0,14,-,0,0,I
1801,2019.12.16_13.36.14,-8.394601,51.886139,5G,-101,-11,4.0,14,-,2,4,D
1802,2019.12.16_13.36.16,-8.394601,51.886139,5G,-101,-11,4.0,14,-,0,0,I
1803,2019.12.16_13.36.17,-8.394601,51.886139,5G,-100,-11,-3.0,14,-,0,0,D
1804,2019.12.16_13.36.18,-8.394601,51.886139,5G,-100,-11,-3.0,14,-,0,0,I
1805,2019.12.16_13.36.19,-8.394601,51.886139,5G,-100,-12,-1.0,14,-,0,0,I
1806,2019.12.16_13.36.20,-8.394601,51.886139,5G,-100,-12,-1.0,14,-,0,0,I
1807,2019.12.16_13.36.21,-8.394601,51.886139,5G,-100,-13,-1.0,14,-,0,0,I
